Mileage,Gas Price,Cost,Date,Description,Service
6,3.09,0.7416,1/26/2018,Calvin Day Care,Day Care
6,3.09,0.7416,1/25/2018,Calvin Day Care,Day Care
10,2.95,1.18,10/17/2017,Check on Loki,Drop In 
8,2.95,0.944,10/18/2017,Check on Loki,Drop In 
8,2.95,0.944,10/19/2017,Check on Loki,Drop In 
8,2.95,0.944,10/20/2017,Check on Loki,Drop In 
8,2.95,0.944,10/21/2017,Check on Loki,Drop In 
8,2.95,0.944,10/22/2017,Check on Loki,Drop In 
8,3.19,1.0208,12/29/2017,Check on Loki,Drop In 
8,3.19,1.0208,12/30/2017,Check on Loki,Drop In 
8,3.19,1.0208,12/31/2017,Check on Loki,Drop In 
2,3.19,0.2552,9/9/2017,Go to Park,Day Care
2,3.19,0.2552,9/24/2017,Go to Park,Day Care
2,3.19,0.2552,10/6/2017,Go to Park,Day Care
2,2.95,0.236,10/29/2017,Go to Park,Day Care
22,2.95,2.596,10/23/2017,House Sit Munch,House Sitting
28,3.19,3.5728,9/12/2017,House Sitting,House Sitting
28,3.19,3.5728,9/13/2017,House Sitting,House Sitting
28,3.19,3.5728,9/14/2017,House Sitting,House Sitting
28,3.19,3.5728,9/15/2017,House Sitting,House Sitting
28,3.19,3.5728,9/16/2017,House Sitting,House Sitting
28,3.19,3.5728,9/17/2017,House Sitting,House Sitting
7,2.95,0.826,10/12/2017,House Sitting,House Sitting
28,2.95,3.304,10/13/2017,House Sitting,House Sitting
7,2.95,0.826,10/14/2017,House Sitting,House Sitting
7,2.95,0.826,10/21/2017,House Sitting,House Sitting
7,2.95,0.826,10/22/2017,House Sitting,House Sitting
32,3.19,4.0832,11/17/2017,House Sitting,House Sitting
32,3.19,4.0832,11/18/2017,House Sitting,House Sitting
16,3.19,2.0416,11/19/2017,House Sitting,House Sitting
14,3.19,1.7864,9/10/2017,Meet and Greet,Meet and Greet
7,3.19,0.8932,9/21/2017,Meet and Greet,Meet and Greet
12,3.19,1.5312,10/9/2017,Meet and Greet,Meet and Greet
10,3.19,1.276,10/9/2017,Meet and Greet,Meet and Greet
4,3.19,0.5104,10/10/2017,Meet and Greet,Meet and Greet
16,2.95,1.888,10/16/2017,Meet and Greet,Meet and Greet
8,2.95,0.944,10/25/2017,Meet and Greet,Meet and Greet
8,3.19,1.0208,1/3/2018,Meet and Greet,Meet and Greet
6,3.19,0.7656,1/4/2018,Meet and Greet,Meet and Greet
8,3.19,1.0208,1/15/2018,Meet and Greet,Meet and Greet
8,3.09,0.9888,1/16/2018,Meet and Greet (Angus),Meet and Greet
14,3.09,1.7304,1/16/2018,Meet and Greet (Roxane),Meet and Greet
7,3.09,0.8652,1/16/2018,Meet and Greet (Whiskey),Meet and Greet
6,3.19,0.7656,1/5/2018,Pick up Calvin,Day Care
10,2.95,1.18,10/16/2017,Pick up keys for drop in visits,Meet and Greet
2,3.19,0.2552,12/30/2017,Pick up Pip,Day Care
2,3.19,0.2552,1/1/2018,Pick up Pip,Day Care
8,2.99,0.9568,11/3/2017,Pick up/Drop off Calvin,Day Care
8,2.99,0.9568,11/10/2017,Pick up/Drop off Calvin,Day Care
2,2.95,0.236,10/17/2017,Pick Up/Drop Off Pip,Day Care
14,3.09,1.7304,1/21/2018,Return Key (Roxane),Meet and Greet
16,3.19,2.0416,1/5/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/6/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/7/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/8/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/9/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/10/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/11/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/12/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/13/2018,Sit Josie,House Sitting
24,3.19,3.0624,1/14/2018,Sit Josie,House Sitting
6,3.09,0.7416,1/23/2018,Visit Cooper,Drop In 
8,3.19,1.0208,1/1/2018,Visit Loki,Drop In 
8,3.19,1.0208,1/2/2018,Visit Loki,Drop In 
4,3.19,0.5104,1/8/2018,Walk Atlas,Walk
4,3.19,0.5104,1/9/2018,Walk Atlas,Walk
